Artist,Venue,City,Country,Tour / Festival,Guests,Setlist?,Date,URL
Bran Van 3000,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/29,http://www.setlist.fm/setlist/bran-van-3000/2011/parc-jean-drapeau-montreal-qc-canada-53d0a399.html
Broken Social Scene,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/29,http://www.setlist.fm/setlist/broken-social-scene/2011/parc-jean-drapeau-montreal-qc-canada-13d0a1a9.html
Brother Ali,Governor's Island,New York City,USA,Rock the Bells 2010,,No,2010/08/28,
Brothers of North,The 360,Toronto,Canada,,,No,,
Bruce Springsteen & The E-Street Band,Wembley Stadium,London,UK,Wrecking Ball,,Yes,2013/06/15,http://www.setlist.fm/setlist/bruce-springsteen/2013/wembley-stadium-london-england-3d9cd0b.html
Buddy Guy,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2007,,No,2007/07/09,
BΔSTILLE,Emirates Stadium,London,UK,BΔSTILLE,,Yes,2013/05/25,http://www.setlist.fm/setlist/bastille/2013/emirates-stadium-london-england-13d9ad51.html
C2C,HMV Forum,London,UK,Tetra,,No,2013/06/20,
Chali 2na,Deer Lake Park,Burnaby,Canada,Rock the Bells 2009,,No,2009/08/01,
Chali 2na,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2012,,Yes,2012/07/10,http://www.setlist.fm/setlist/chali-2na/2012/le-breton-festival-park-ottawa-on-canada-63df4687.html
Charles Bradley & His Extraordinaires,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2015,,Yes,2015/07/09,http://www.setlist.fm/setlist/charles-bradley/2015/le-breton-festival-park-ottawa-on-canada-23f684d3.html
Cheap Trick,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2011,,Yes,2011/07/17,http://www.setlist.fm/setlist/cheap-trick/2011/le-breton-festival-park-ottawa-on-canada-73da62b9.html
Chromeo,Metropolis,Montreal,Canada,Business Casual,,No,2011/09/24,
Chromeo,L'Olympia,Montreal,Canada,Fancy Footwork,,No,2009/12/31,
Chromeo,Mount Currie,Pemberton,Canada,Pemberton Festival 2008,,No,2008/07/25,
